FUNCTION NAME,DESCRIPTION
"subprocess.check_output(args, *, stdin=None, stderr=None, shell=False, cwd=None, encoding=None, errors=None, universal_newlines=None, timeout=None, text=None)","Run command with arguments and return its output.
If the return code was non-zero it raises a CalledProcessError. The
CalledProcessError object will have the return code in the
returncode attribute and any output in the
output attribute.
This is equivalent to:
run(..., check=True, stdout=PIPE).stdout


The arguments shown above are merely some common ones.
The full function signature is largely the same as that of run() -
most arguments are passed directly through to that interface.
However, explicitly passing input=None to inherit the parent’s
standard input file handle is not supported.
By default, this function will return the data as encoded bytes. The actual
encoding of the output data may depend on the command being invoked, so the
decoding to text will often need to be handled at the application level.
This behaviour may be overridden by setting text, encoding, errors,
or universal_newlines to True as described in
Frequently Used Arguments and run().
To also capture standard error in the result, use
stderr=subprocess.STDOUT:
>>> subprocess.check_output(
...     ""ls non_existent_file; exit 0"",
...     stderr=subprocess.STDOUT,
...     shell=True)
'ls: non_existent_file: No such file or directory\n'



New in version 3.1.


Changed in version 3.3: timeout was added.


Changed in version 3.4: Support for the input keyword argument was added.


Changed in version 3.6: encoding and errors were added.  See run() for details.


New in version 3.7: text was added as a more readable alias for universal_newlines."
subprocess.getstatusoutput(cmd),"Return (exitcode, output) of executing cmd in a shell.
Execute the string cmd in a shell with Popen.check_output() and
return a 2-tuple (exitcode, output). The locale encoding is used;
see the notes on Frequently Used Arguments for more details.
A trailing newline is stripped from the output.
The exit code for the command can be interpreted as the return code
of subprocess.  Example:
>>> subprocess.getstatusoutput('ls /bin/ls')
(0, '/bin/ls')
>>> subprocess.getstatusoutput('cat /bin/junk')
(1, 'cat: /bin/junk: No such file or directory')
>>> subprocess.getstatusoutput('/bin/junk')
(127, 'sh: /bin/junk: not found')
>>> subprocess.getstatusoutput('/bin/kill $$')
(-15, '')


Availability: POSIX & Windows.

Changed in version 3.3.4: Windows support was added.
The function now returns (exitcode, output) instead of (status, output)
as it did in Python 3.3.3 and earlier.  exitcode has the same value as
returncode."
subprocess.getoutput(cmd),"Return output (stdout and stderr) of executing cmd in a shell.
Like getstatusoutput(), except the exit code is ignored and the return
value is a string containing the command’s output.  Example:
>>> subprocess.getoutput('ls /bin/ls')
'/bin/ls'


Availability: POSIX & Windows.

Changed in version 3.3.4: Windows support added"
check_returncode(),"If returncode is non-zero, raise a CalledProcessError."
Popen.poll(),"Check if child process has terminated.  Set and return
returncode attribute. Otherwise, returns None."
Popen.wait(timeout=None),"Wait for child process to terminate.  Set and return
returncode attribute.
If the process does not terminate after timeout seconds, raise a
TimeoutExpired exception.  It is safe to catch this exception and
retry the wait.

Note
This will deadlock when using stdout=PIPE or stderr=PIPE
and the child process generates enough output to a pipe such that
it blocks waiting for the OS pipe buffer to accept more data.
Use Popen.communicate() when using pipes to avoid that.


Note
The function is implemented using a busy loop (non-blocking call and
short sleeps). Use the asyncio module for an asynchronous wait:
see asyncio.create_subprocess_exec.


Changed in version 3.3: timeout was added."
"Popen.communicate(input=None, timeout=None)","Interact with process: Send data to stdin.  Read data from stdout and stderr,
until end-of-file is reached.  Wait for process to terminate.  The optional
input argument should be data to be sent to the child process, or
None, if no data should be sent to the child.  If streams were opened in
text mode, input must be a string.  Otherwise, it must be bytes.
communicate() returns a tuple (stdout_data, stderr_data).
The data will be strings if streams were opened in text mode; otherwise,
bytes.
Note that if you want to send data to the process’s stdin, you need to create
the Popen object with stdin=PIPE.  Similarly, to get anything other than
None in the result tuple, you need to give stdout=PIPE and/or
stderr=PIPE too.
If the process does not terminate after timeout seconds, a
TimeoutExpired exception will be raised.  Catching this exception and
retrying communication will not lose any output.
The child process is not killed if the timeout expires, so in order to
cleanup properly a well-behaved application should kill the child process and
finish communication:
proc = subprocess.Popen(...)
try:
    outs, errs = proc.communicate(timeout=15)
except TimeoutExpired:
    proc.kill()
    outs, errs = proc.communicate()



Note
The data read is buffered in memory, so do not use this method if the data
size is large or unlimited.


Changed in version 3.3: timeout was added."
Popen.send_signal(signal),"Sends the signal signal to the child.

Note
On Windows, SIGTERM is an alias for terminate(). CTRL_C_EVENT and
CTRL_BREAK_EVENT can be sent to processes started with a creationflags
parameter which includes CREATE_NEW_PROCESS_GROUP."
Popen.terminate(),"Stop the child. On Posix OSs the method sends SIGTERM to the
child. On Windows the Win32 API function TerminateProcess() is called
to stop the child."
Popen.kill(),"Kills the child. On Posix OSs the function sends SIGKILL to the child.
On Windows kill() is an alias for terminate()."
"scheduler.enterabs(time, priority, action, argument=(), kwargs={})","Schedule a new event. The time argument should be a numeric type compatible
with the return value of the timefunc function passed  to the constructor.
Events scheduled for the same time will be executed in the order of their
priority. A lower number represents a higher priority.
Executing the event means executing action(*argument, **kwargs).
argument is a sequence holding the positional arguments for action.
kwargs is a dictionary holding the keyword arguments for action.
Return value is an event which may be used for later cancellation of the event
(see cancel()).

Changed in version 3.3: argument parameter is optional.


Changed in version 3.3: kwargs parameter was added."
"scheduler.enter(delay, priority, action, argument=(), kwargs={})","Schedule an event for delay more time units. Other than the relative time, the
other arguments, the effect and the return value are the same as those for
enterabs().

Changed in version 3.3: argument parameter is optional.


Changed in version 3.3: kwargs parameter was added."
scheduler.cancel(event),"Remove the event from the queue. If event is not an event currently in the
queue, this method will raise a ValueError."
scheduler.empty(),Return True if the event queue is empty.
scheduler.run(blocking=True),"Run all scheduled events. This method will wait  (using the delayfunc()
function passed to the constructor) for the next event, then execute it and so
on until there are no more scheduled events.
If blocking is false executes the scheduled events due to expire soonest
(if any) and then return the deadline of the next scheduled call in the
scheduler (if any).
Either action or delayfunc can raise an exception.  In either case, the
scheduler will maintain a consistent state and propagate the exception.  If an
exception is raised by action, the event will not be attempted in future calls
to run().
If a sequence of events takes longer to run than the time available before the
next event, the scheduler will simply fall behind.  No events will be dropped;
the calling code is responsible for canceling  events which are no longer
pertinent.

Changed in version 3.3: blocking parameter was added."
Queue.qsize(),"Return the approximate size of the queue.  Note, qsize() > 0 doesn’t
guarantee that a subsequent get() will not block, nor will qsize() < maxsize
guarantee that put() will not block."
Queue.empty(),"Return True if the queue is empty, False otherwise.  If empty()
returns True it doesn’t guarantee that a subsequent call to put()
will not block.  Similarly, if empty() returns False it doesn’t
guarantee that a subsequent call to get() will not block."
Queue.full(),"Return True if the queue is full, False otherwise.  If full()
returns True it doesn’t guarantee that a subsequent call to get()
will not block.  Similarly, if full() returns False it doesn’t
guarantee that a subsequent call to put() will not block."
"Queue.put(item, block=True, timeout=None)","Put item into the queue. If optional args block is true and timeout is
None (the default), block if necessary until a free slot is available. If
timeout is a positive number, it blocks at most timeout seconds and raises
the Full exception if no free slot was available within that time.
Otherwise (block is false), put an item on the queue if a free slot is
immediately available, else raise the Full exception (timeout is
ignored in that case)."
Queue.put_nowait(item),"Equivalent to put(item, False)."
"Queue.get(block=True, timeout=None)","Remove and return an item from the queue. If optional args block is true and
timeout is None (the default), block if necessary until an item is available.
If timeout is a positive number, it blocks at most timeout seconds and
raises the Empty exception if no item was available within that time.
Otherwise (block is false), return an item if one is immediately available,
else raise the Empty exception (timeout is ignored in that case).
Prior to 3.0 on POSIX systems, and for all versions on Windows, if
block is true and timeout is None, this operation goes into
an uninterruptible wait on an underlying lock. This means that no exceptions
can occur, and in particular a SIGINT will not trigger a KeyboardInterrupt."
Queue.get_nowait(),Equivalent to get(False).
Queue.task_done(),"Indicate that a formerly enqueued task is complete.  Used by queue consumer
threads.  For each get() used to fetch a task, a subsequent call to
task_done() tells the queue that the processing on the task is complete.
If a join() is currently blocking, it will resume when all items have been
processed (meaning that a task_done() call was received for every item
that had been put() into the queue).
Raises a ValueError if called more times than there were items placed in
the queue."
Queue.join(),"Blocks until all items in the queue have been gotten and processed.
The count of unfinished tasks goes up whenever an item is added to the queue.
The count goes down whenever a consumer thread calls task_done() to
indicate that the item was retrieved and all work on it is complete. When the
count of unfinished tasks drops to zero, join() unblocks."
SimpleQueue.qsize(),"Return the approximate size of the queue.  Note, qsize() > 0 doesn’t
guarantee that a subsequent get() will not block."
SimpleQueue.empty(),"Return True if the queue is empty, False otherwise. If empty()
returns False it doesn’t guarantee that a subsequent call to get()
will not block."
"SimpleQueue.put(item, block=True, timeout=None)","Put item into the queue.  The method never blocks and always succeeds
(except for potential low-level errors such as failure to allocate memory).
The optional args block and timeout are ignored and only provided
for compatibility with Queue.put().

CPython implementation detail: This method has a C implementation which is reentrant.  That is, a
put() or get() call can be interrupted by another put()
call in the same thread without deadlocking or corrupting internal
state inside the queue.  This makes it appropriate for use in
destructors such as __del__ methods or weakref callbacks."
SimpleQueue.put_nowait(item),"Equivalent to put(item), provided for compatibility with
Queue.put_nowait()."
"SimpleQueue.get(block=True, timeout=None)","Remove and return an item from the queue.  If optional args block is true and
timeout is None (the default), block if necessary until an item is available.
If timeout is a positive number, it blocks at most timeout seconds and
raises the Empty exception if no item was available within that time.
Otherwise (block is false), return an item if one is immediately available,
else raise the Empty exception (timeout is ignored in that case)."
SimpleQueue.get_nowait(),Equivalent to get(False).
"_thread.start_new_thread(function, args[, kwargs])","Start a new thread and return its identifier.  The thread executes the
function function with the argument list args (which must be a tuple).
The optional kwargs argument specifies a dictionary of keyword arguments.
When the function returns, the thread silently exits.
When the function terminates with an unhandled exception,
sys.unraisablehook() is called to handle the exception. The object
attribute of the hook argument is function. By default, a stack trace is
printed and then the thread exits (but other threads continue to run).
When the function raises a SystemExit exception, it is silently
ignored.

Changed in version 3.8: sys.unraisablehook() is now used to handle unhandled exceptions."
_thread.interrupt_main(),"Simulate the effect of a signal.SIGINT signal arriving in the main
thread. A thread can use this function to interrupt the main thread.
If signal.SIGINT isn’t handled by Python (it was set to
signal.SIG_DFL or signal.SIG_IGN), this function does
nothing."
_thread.exit(),"Raise the SystemExit exception.  When not caught, this will cause the
thread to exit silently."
_thread.allocate_lock(),"Return a new lock object.  Methods of locks are described below.  The lock is
initially unlocked."
_thread.get_ident(),"Return the ‘thread identifier’ of the current thread.  This is a nonzero
integer.  Its value has no direct meaning; it is intended as a magic cookie to
be used e.g. to index a dictionary of thread-specific data.  Thread identifiers
may be recycled when a thread exits and another thread is created."
_thread.get_native_id(),"Return the native integral Thread ID of the current thread assigned by the kernel.
This is a non-negative integer.
Its value may be used to uniquely identify this particular thread system-wide
(until the thread terminates, after which the value may be recycled by the OS).
Availability: Windows, FreeBSD, Linux, macOS, OpenBSD, NetBSD, AIX.

New in version 3.8."
_thread.stack_size([size]),"Return the thread stack size used when creating new threads.  The optional
size argument specifies the stack size to be used for subsequently created
threads, and must be 0 (use platform or configured default) or a positive
integer value of at least 32,768 (32 KiB). If size is not specified,
0 is used.  If changing the thread stack size is
unsupported, a RuntimeError is raised.  If the specified stack size is
invalid, a ValueError is raised and the stack size is unmodified.  32 KiB
is currently the minimum supported stack size value to guarantee sufficient
stack space for the interpreter itself.  Note that some platforms may have
particular restrictions on values for the stack size, such as requiring a
minimum stack size > 32 KiB or requiring allocation in multiples of the system
memory page size - platform documentation should be referred to for more
information (4 KiB pages are common; using multiples of 4096 for the stack size is
the suggested approach in the absence of more specific information).
Availability: Windows, systems with POSIX threads."
"lock.acquire(waitflag=1, timeout=-1)","Without any optional argument, this method acquires the lock unconditionally, if
necessary waiting until it is released by another thread (only one thread at a
time can acquire a lock — that’s their reason for existence).
If the integer waitflag argument is present, the action depends on its
value: if it is zero, the lock is only acquired if it can be acquired
immediately without waiting, while if it is nonzero, the lock is acquired
unconditionally as above.
If the floating-point timeout argument is present and positive, it
specifies the maximum wait time in seconds before returning.  A negative
timeout argument specifies an unbounded wait.  You cannot specify
a timeout if waitflag is zero.
The return value is True if the lock is acquired successfully,
False if not.

Changed in version 3.2: The timeout parameter is new.


Changed in version 3.2: Lock acquires can now be interrupted by signals on POSIX."
lock.release(),"Releases the lock.  The lock must have been acquired earlier, but not
necessarily by the same thread."
lock.locked(),"Return the status of the lock: True if it has been acquired by some thread,
False if not."
contextvars.copy_context(),"Returns a copy of the current Context object.
The following snippet gets a copy of the current context and prints
all variables and their values that are set in it:
ctx: Context = copy_context()
print(list(ctx.items()))


The function has an O(1) complexity, i.e. works equally fast for
contexts with a few context variables and for contexts that have
a lot of them."
get([default]),"Return a value for the context variable for the current context.
If there is no value for the variable in the current context,
the method will:

return the value of the default argument of the method,
if provided; or
return the default value for the context variable,
if it was created with one; or
raise a LookupError."
set(value),"Call to set a new value for the context variable in the current
context.
The required value argument is the new value for the context
variable.
Returns a Token object that can be used
to restore the variable to its previous value via the
ContextVar.reset() method."
reset(token),"Reset the context variable to the value it had before the
ContextVar.set() that created the token was used.
For example:
var = ContextVar('var')

token = var.set('new value')
# code that uses 'var'; var.get() returns 'new value'.
var.reset(token)

# After the reset call the var has no value again, so
# var.get() would raise a LookupError."
"run(callable, *args, **kwargs)","Execute callable(*args, **kwargs) code in the context object
the run method is called on.  Return the result of the execution
or propagate an exception if one occurred.
Any changes to any context variables that callable makes will
be contained in the context object:
var = ContextVar('var')
var.set('spam')

def main():
    # 'var' was set to 'spam' before
    # calling 'copy_context()' and 'ctx.run(main)', so:
    # var.get() == ctx[var] == 'spam'

    var.set('ham')

    # Now, after setting 'var' to 'ham':
    # var.get() == ctx[var] == 'ham'

ctx = copy_context()

# Any changes that the 'main' function makes to 'var'
# will be contained in 'ctx'.
ctx.run(main)

# The 'main()' function was run in the 'ctx' context,
# so changes to 'var' are contained in it:
# ctx[var] == 'ham'

# However, outside of 'ctx', 'var' is still set to 'spam':
# var.get() == 'spam'


The method raises a RuntimeError when called on the same
context object from more than one OS thread, or when called
recursively."
copy(),Return a shallow copy of the context object.
"get(var[, default])","Return the value for var if var has the value in the context
object.  Return default otherwise.  If default is not given,
return None."
keys(),Return a list of all variables in the context object.
values(),Return a list of all variables’ values in the context object.
items(),"Return a list of 2-tuples containing all variables and their
values in the context object."
contextvars.copy_context(),"Returns a copy of the current Context object.
The following snippet gets a copy of the current context and prints
all variables and their values that are set in it:
ctx: Context = copy_context()
print(list(ctx.items()))


The function has an O(1) complexity, i.e. works equally fast for
contexts with a few context variables and for contexts that have
a lot of them."
get([default]),"Return a value for the context variable for the current context.
If there is no value for the variable in the current context,
the method will:

return the value of the default argument of the method,
if provided; or
return the default value for the context variable,
if it was created with one; or
raise a LookupError."
set(value),"Call to set a new value for the context variable in the current
context.
The required value argument is the new value for the context
variable.
Returns a Token object that can be used
to restore the variable to its previous value via the
ContextVar.reset() method."
reset(token),"Reset the context variable to the value it had before the
ContextVar.set() that created the token was used.
For example:
var = ContextVar('var')

token = var.set('new value')
# code that uses 'var'; var.get() returns 'new value'.
var.reset(token)

# After the reset call the var has no value again, so
# var.get() would raise a LookupError."
"run(callable, *args, **kwargs)","Execute callable(*args, **kwargs) code in the context object
the run method is called on.  Return the result of the execution
or propagate an exception if one occurred.
Any changes to any context variables that callable makes will
be contained in the context object:
var = ContextVar('var')
var.set('spam')

def main():
    # 'var' was set to 'spam' before
    # calling 'copy_context()' and 'ctx.run(main)', so:
    # var.get() == ctx[var] == 'spam'

    var.set('ham')

    # Now, after setting 'var' to 'ham':
    # var.get() == ctx[var] == 'ham'

ctx = copy_context()

# Any changes that the 'main' function makes to 'var'
# will be contained in 'ctx'.
ctx.run(main)

# The 'main()' function was run in the 'ctx' context,
# so changes to 'var' are contained in it:
# ctx[var] == 'ham'

# However, outside of 'ctx', 'var' is still set to 'spam':
# var.get() == 'spam'


The method raises a RuntimeError when called on the same
context object from more than one OS thread, or when called
recursively."
copy(),Return a shallow copy of the context object.
"get(var[, default])","Return the value for var if var has the value in the context
object.  Return default otherwise.  If default is not given,
return None."
keys(),Return a list of all variables in the context object.
values(),Return a list of all variables’ values in the context object.
items(),"Return a list of 2-tuples containing all variables and their
values in the context object."
contextvars.copy_context(),"Returns a copy of the current Context object.
The following snippet gets a copy of the current context and prints
all variables and their values that are set in it:
ctx: Context = copy_context()
print(list(ctx.items()))


The function has an O(1) complexity, i.e. works equally fast for
contexts with a few context variables and for contexts that have
a lot of them."
get([default]),"Return a value for the context variable for the current context.
If there is no value for the variable in the current context,
the method will:

return the value of the default argument of the method,
if provided; or
return the default value for the context variable,
if it was created with one; or
raise a LookupError."
set(value),"Call to set a new value for the context variable in the current
context.
The required value argument is the new value for the context
variable.
Returns a Token object that can be used
to restore the variable to its previous value via the
ContextVar.reset() method."
reset(token),"Reset the context variable to the value it had before the
ContextVar.set() that created the token was used.
For example:
var = ContextVar('var')

token = var.set('new value')
# code that uses 'var'; var.get() returns 'new value'.
var.reset(token)

# After the reset call the var has no value again, so
# var.get() would raise a LookupError."
"run(callable, *args, **kwargs)","Execute callable(*args, **kwargs) code in the context object
the run method is called on.  Return the result of the execution
or propagate an exception if one occurred.
Any changes to any context variables that callable makes will
be contained in the context object:
var = ContextVar('var')
var.set('spam')

def main():
    # 'var' was set to 'spam' before
    # calling 'copy_context()' and 'ctx.run(main)', so:
    # var.get() == ctx[var] == 'spam'

    var.set('ham')

    # Now, after setting 'var' to 'ham':
    # var.get() == ctx[var] == 'ham'

ctx = copy_context()

# Any changes that the 'main' function makes to 'var'
# will be contained in 'ctx'.
ctx.run(main)

# The 'main()' function was run in the 'ctx' context,
# so changes to 'var' are contained in it:
# ctx[var] == 'ham'

# However, outside of 'ctx', 'var' is still set to 'spam':
# var.get() == 'spam'


The method raises a RuntimeError when called on the same
context object from more than one OS thread, or when called
recursively."
copy(),Return a shallow copy of the context object.
"get(var[, default])","Return the value for var if var has the value in the context
object.  Return default otherwise.  If default is not given,
return None."
keys(),Return a list of all variables in the context object.
values(),Return a list of all variables’ values in the context object.
items(),"Return a list of 2-tuples containing all variables and their
values in the context object."
"socket.socket(family=AF_INET, type=SOCK_STREAM, proto=0, fileno=None)","Create a new socket using the given address family, socket type and protocol
number.  The address family should be AF_INET (the default),
AF_INET6, AF_UNIX, AF_CAN, AF_PACKET,
or AF_RDS. The socket type should be SOCK_STREAM (the
default), SOCK_DGRAM, SOCK_RAW or perhaps one of the other
SOCK_ constants. The protocol number is usually zero and may be omitted
or in the case where the address family is AF_CAN the protocol
should be one of CAN_RAW, CAN_BCM or CAN_ISOTP.
If fileno is specified, the values for family, type, and proto are
auto-detected from the specified file descriptor.  Auto-detection can be
overruled by calling the function with explicit family, type, or proto
arguments.  This only affects how Python represents e.g. the return value
of socket.getpeername() but not the actual OS resource.  Unlike
socket.fromfd(), fileno will return the same socket and not a
duplicate. This may help close a detached socket using
socket.close().
The newly created socket is non-inheritable.
Raises an auditing event socket.__new__ with arguments self, family, type, protocol.

Changed in version 3.3: The AF_CAN family was added.
The AF_RDS family was added.


Changed in version 3.4: The CAN_BCM protocol was added.


Changed in version 3.4: The returned socket is now non-inheritable.


Changed in version 3.7: The CAN_ISOTP protocol was added.


Changed in version 3.7: When SOCK_NONBLOCK or SOCK_CLOEXEC
bit flags are applied to type they are cleared, and
socket.type will not reflect them.  They are still passed
to the underlying system socket() call.  Therefore,
sock = socket.socket(
    socket.AF_INET,
    socket.SOCK_STREAM | socket.SOCK_NONBLOCK)


will still create a non-blocking socket on OSes that support
SOCK_NONBLOCK, but sock.type will be set to
socket.SOCK_STREAM."
"socket.socketpair([family[, type[, proto]]])","Build a pair of connected socket objects using the given address family, socket
type, and protocol number.  Address family, socket type, and protocol number are
as for the socket() function above. The default family is AF_UNIX
if defined on the platform; otherwise, the default is AF_INET.
The newly created sockets are non-inheritable.

Changed in version 3.2: The returned socket objects now support the whole socket API, rather
than a subset.


Changed in version 3.4: The returned sockets are now non-inheritable.


Changed in version 3.5: Windows support added."
"socket.create_connection(address[, timeout[, source_address]])","Connect to a TCP service listening on the Internet address (a 2-tuple
(host, port)), and return the socket object.  This is a higher-level
function than socket.connect(): if host is a non-numeric hostname,
it will try to resolve it for both AF_INET and AF_INET6,
and then try to connect to all possible addresses in turn until a
connection succeeds.  This makes it easy to write clients that are
compatible to both IPv4 and IPv6.
Passing the optional timeout parameter will set the timeout on the
socket instance before attempting to connect.  If no timeout is
supplied, the global default timeout setting returned by
getdefaulttimeout() is used.
If supplied, source_address must be a 2-tuple (host, port) for the
socket to bind to as its source address before connecting.  If host or port
are ‘’ or 0 respectively the OS default behavior will be used.

Changed in version 3.2: source_address was added."
"socket.create_server(address, *, family=AF_INET, backlog=None, reuse_port=False, dualstack_ipv6=False)","Convenience function which creates a TCP socket bound to address (a 2-tuple
(host, port)) and return the socket object.
family should be either AF_INET or AF_INET6.
backlog is the queue size passed to socket.listen(); when 0
a default reasonable value is chosen.
reuse_port dictates whether to set the SO_REUSEPORT socket option.
If dualstack_ipv6 is true and the platform supports it the socket will
be able to accept both IPv4 and IPv6 connections, else it will raise
ValueError. Most POSIX platforms and Windows are supposed to support
this functionality.
When this functionality is enabled the address returned by
socket.getpeername() when an IPv4 connection occurs will be an IPv6
address represented as an IPv4-mapped IPv6 address.
If dualstack_ipv6 is false it will explicitly disable this functionality
on platforms that enable it by default (e.g. Linux).
This parameter can be used in conjunction with has_dualstack_ipv6():
import socket

addr = ("""", 8080)  # all interfaces, port 8080
if socket.has_dualstack_ipv6():
    s = socket.create_server(addr, family=socket.AF_INET6, dualstack_ipv6=True)
else:
    s = socket.create_server(addr)



Note
On POSIX platforms the SO_REUSEADDR socket option is set in order to
immediately reuse previous sockets which were bound on the same address
and remained in TIME_WAIT state.


New in version 3.8."
socket.has_dualstack_ipv6(),"Return True if the platform supports creating a TCP socket which can
handle both IPv4 and IPv6 connections.

New in version 3.8."
"socket.fromfd(fd, family, type, proto=0)","Duplicate the file descriptor fd (an integer as returned by a file object’s
fileno() method) and build a socket object from the result.  Address
family, socket type and protocol number are as for the socket() function
above. The file descriptor should refer to a socket, but this is not checked —
subsequent operations on the object may fail if the file descriptor is invalid.
This function is rarely needed, but can be used to get or set socket options on
a socket passed to a program as standard input or output (such as a server
started by the Unix inet daemon).  The socket is assumed to be in blocking mode.
The newly created socket is non-inheritable.

Changed in version 3.4: The returned socket is now non-inheritable."
socket.fromshare(data),"Instantiate a socket from data obtained from the socket.share()
method.  The socket is assumed to be in blocking mode.
Availability: Windows.

New in version 3.3."
socket.close(fd),"Close a socket file descriptor. This is like os.close(), but for
sockets. On some platforms (most noticeable Windows) os.close()
does not work for socket file descriptors.

New in version 3.7."
"socket.getaddrinfo(host, port, family=0, type=0, proto=0, flags=0)","Translate the host/port argument into a sequence of 5-tuples that contain
all the necessary arguments for creating a socket connected to that service.
host is a domain name, a string representation of an IPv4/v6 address
or None. port is a string service name such as 'http', a numeric
port number or None.  By passing None as the value of host
and port, you can pass NULL to the underlying C API.
The family, type and proto arguments can be optionally specified
in order to narrow the list of addresses returned.  Passing zero as a
value for each of these arguments selects the full range of results.
The flags argument can be one or several of the AI_* constants,
and will influence how results are computed and returned.
For example, AI_NUMERICHOST will disable domain name resolution
and will raise an error if host is a domain name.
The function returns a list of 5-tuples with the following structure:
(family, type, proto, canonname, sockaddr)
In these tuples, family, type, proto are all integers and are
meant to be passed to the socket() function.  canonname will be
a string representing the canonical name of the host if
AI_CANONNAME is part of the flags argument; else canonname
will be empty.  sockaddr is a tuple describing a socket address, whose
format depends on the returned family (a (address, port) 2-tuple for
AF_INET, a (address, port, flow info, scope id) 4-tuple for
AF_INET6), and is meant to be passed to the socket.connect()
method.
Raises an auditing event socket.getaddrinfo with arguments host, port, family, type, protocol.
The following example fetches address information for a hypothetical TCP
connection to example.org on port 80 (results may differ on your
system if IPv6 isn’t enabled):
>>> socket.getaddrinfo(""example.org"", 80, proto=socket.IPPROTO_TCP)
[(<AddressFamily.AF_INET6: 10>, <SocketType.SOCK_STREAM: 1>,
 6, '', ('2606:2800:220:1:248:1893:25c8:1946', 80, 0, 0)),
 (<AddressFamily.AF_INET: 2>, <SocketType.SOCK_STREAM: 1>,
 6, '', ('93.184.216.34', 80))]



Changed in version 3.2: parameters can now be passed using keyword arguments.


Changed in version 3.7: for IPv6 multicast addresses, string representing an address will not
contain %scope part."
socket.getfqdn([name]),"Return a fully qualified domain name for name. If name is omitted or empty,
it is interpreted as the local host.  To find the fully qualified name, the
hostname returned by gethostbyaddr() is checked, followed by aliases for the
host, if available.  The first name which includes a period is selected.  In
case no fully qualified domain name is available, the hostname as returned by
gethostname() is returned."
socket.gethostbyname(hostname),"Translate a host name to IPv4 address format.  The IPv4 address is returned as a
string, such as  '100.50.200.5'.  If the host name is an IPv4 address itself
it is returned unchanged.  See gethostbyname_ex() for a more complete
interface. gethostbyname() does not support IPv6 name resolution, and
getaddrinfo() should be used instead for IPv4/v6 dual stack support.
Raises an auditing event socket.gethostbyname with argument hostname."
socket.gethostbyname_ex(hostname),"Translate a host name to IPv4 address format, extended interface. Return a
triple (hostname, aliaslist, ipaddrlist) where hostname is the primary
host name responding to the given ip_address, aliaslist is a (possibly
empty) list of alternative host names for the same address, and ipaddrlist is
a list of IPv4 addresses for the same interface on the same host (often but not
always a single address). gethostbyname_ex() does not support IPv6 name
resolution, and getaddrinfo() should be used instead for IPv4/v6 dual
stack support.
Raises an auditing event socket.gethostbyname with argument hostname."
socket.gethostname(),"Return a string containing the hostname of the machine where  the Python
interpreter is currently executing.
Raises an auditing event socket.gethostname with no arguments.
Note: gethostname() doesn’t always return the fully qualified domain
name; use getfqdn() for that."
socket.gethostbyaddr(ip_address),"Return a triple (hostname, aliaslist, ipaddrlist) where hostname is the
primary host name responding to the given ip_address, aliaslist is a
(possibly empty) list of alternative host names for the same address, and
ipaddrlist is a list of IPv4/v6 addresses for the same interface on the same
host (most likely containing only a single address). To find the fully qualified
domain name, use the function getfqdn(). gethostbyaddr() supports
both IPv4 and IPv6.
Raises an auditing event socket.gethostbyaddr with argument ip_address."
"socket.getnameinfo(sockaddr, flags)","Translate a socket address sockaddr into a 2-tuple (host, port). Depending
on the settings of flags, the result can contain a fully-qualified domain name
or numeric address representation in host.  Similarly, port can contain a
string port name or a numeric port number.
For IPv6 addresses, %scope is appended to the host part if sockaddr
contains meaningful scopeid. Usually this happens for multicast addresses.
For more information about flags you can consult getnameinfo(3).
Raises an auditing event socket.getnameinfo with argument sockaddr."
socket.getprotobyname(protocolname),"Translate an Internet protocol name (for example, 'icmp') to a constant
suitable for passing as the (optional) third argument to the socket()
function.  This is usually only needed for sockets opened in “raw” mode
(SOCK_RAW); for the normal socket modes, the correct protocol is chosen
automatically if the protocol is omitted or zero."
"socket.getservbyname(servicename[, protocolname])","Translate an Internet service name and protocol name to a port number for that
service.  The optional protocol name, if given, should be 'tcp' or
'udp', otherwise any protocol will match.
Raises an auditing event socket.getservbyname with arguments servicename, protocolname."
"socket.getservbyport(port[, protocolname])","Translate an Internet port number and protocol name to a service name for that
service.  The optional protocol name, if given, should be 'tcp' or
'udp', otherwise any protocol will match.
Raises an auditing event socket.getservbyport with arguments port, protocolname."
socket.ntohl(x),"Convert 32-bit positive integers from network to host byte order.  On machines
where the host byte order is the same as network byte order, this is a no-op;
otherwise, it performs a 4-byte swap operation."
socket.ntohs(x),"Convert 16-bit positive integers from network to host byte order.  On machines
where the host byte order is the same as network byte order, this is a no-op;
otherwise, it performs a 2-byte swap operation.

Deprecated since version 3.7: In case x does not fit in 16-bit unsigned integer, but does fit in a
positive C int, it is silently truncated to 16-bit unsigned integer.
This silent truncation feature is deprecated, and will raise an
exception in future versions of Python."
socket.htonl(x),"Convert 32-bit positive integers from host to network byte order.  On machines
where the host byte order is the same as network byte order, this is a no-op;
otherwise, it performs a 4-byte swap operation."
socket.htons(x),"Convert 16-bit positive integers from host to network byte order.  On machines
where the host byte order is the same as network byte order, this is a no-op;
otherwise, it performs a 2-byte swap operation.

Deprecated since version 3.7: In case x does not fit in 16-bit unsigned integer, but does fit in a
positive C int, it is silently truncated to 16-bit unsigned integer.
This silent truncation feature is deprecated, and will raise an
exception in future versions of Python."
